log_file,data_path,model_id,seq_len,pred_len,d_model,d_ff,e_layers,batch_size,learning_rate,m_dim,tau,k,stopped_epoch,mse,mae
ETTh2_sl720_pl96_Ablation.log,ETTh2.csv,ETTh2_sl720_pl96_Ablation,720,96,256,512,2,64,0.0006,3,1,3,6,0.2940228283405304,0.3533788025379181
ETTh1_sl336_pl96_MainSOTA.log,ETTh1.csv,ETTh1_sl336_pl96_MainSOTA,336,96,256,512,2,64,0.0006,3,1,3,8,0.39053887128829956,0.4089381694793701
ETTm1_sl336_pl336_MainSOTA.log,ETTm1.csv,ETTm1_sl336_pl336_MainSOTA,336,336,512,1024,2,64,0.0004,3,4,5,6,0.3793763518333435,0.398190975189209
ETTh1_sl336_pl336_MainSOTA.log,ETTh1.csv,ETTh1_sl336_pl336_MainSOTA,336,336,256,512,2,64,0.0006,3,1,3,6,0.4602271318435669,0.458029568195343
ETTm1_sl336_pl96_MainSOTA.log,ETTm1.csv,ETTm1_sl336_pl96_MainSOTA,336,96,512,1024,2,64,0.0004,3,4,5,10,0.33145132660865784,0.3596688210964203
ETTm2_sl720_pl96_Ablation.log,ETTm2.csv,ETTm2_sl720_pl96_Ablation,720,96,512,1024,2,64,0.0004,3,4,5,10,0.18253114819526672,0.26818379759788513
ETTm2_sl96_pl96_FairBench.log,ETTm2.csv,ETTm2_sl96_pl96_FairBench,96,96,256,512,2,64,0.0004,3,4,3,10,0.17979705333709717,0.2585022747516632
ETTm2_sl192_pl96_Ablation.log,ETTm2.csv,ETTm2_sl192_pl96_Ablation,192,96,512,1024,2,64,0.0004,3,4,5,7,0.17503121495246887,0.2581176161766052
ETTh2_sl336_pl336_MainSOTA.log,ETTh2.csv,ETTh2_sl336_pl336_MainSOTA,336,336,256,512,2,64,0.0006,3,1,3,12,0.4183281660079956,0.4316336214542389
ETTm2_sl96_pl96_Ablation.log,ETTm2.csv,ETTm2_sl96_pl96_Ablation,96,96,512,1024,2,64,0.0004,3,4,5,9,0.1781112402677536,0.25614190101623535
WTH_sl96_pl336_m7_t3.log,WTH.csv,WTH_sl96_pl336_m7_t3,96,336,256,512,2,64,0.0001,7,3,3,10,0.5771710872650146,0.5334123969078064
WTH_sl96_pl720_m7_t3.log,WTH.csv,WTH_sl96_pl720_m7_t3,96,720,256,512,2,64,0.0001,7,3,3,8,0.627142071723938,0.5626124739646912
WTH_sl192_pl192_m7_t3.log,WTH.csv,WTH_sl192_pl192_m7_t3,192,192,256,512,2,64,0.0001,7,3,3,0,Crash/Unfinished,Crash/Unfinished
WTH_sl96_pl96_m7_t3.log,WTH.csv,WTH_sl96_pl96_m7_t3,96,96,256,512,2,64,0.0001,7,3,3,10,0.4839998781681061,0.467970073223114
WTH_sl192_pl96_m7_t3.log,WTH.csv,WTH_sl192_pl96_m7_t3,192,96,256,512,2,64,0.0001,7,3,3,10,0.47453176975250244,0.46732670068740845
WTH_sl96_pl192_m7_t3.log,WTH.csv,WTH_sl96_pl192_m7_t3,96,192,256,512,2,64,0.0001,7,3,3,11,0.5441778898239136,0.5116137862205505
exchange_rate_sl336_pl96_AGGRESSIVE.log,exchange_rate.csv,exchange_rate_sl336_pl96_AGGRESSIVE,336,96,512,512,4,512,0.0002,3,1,2,6,0.11249524354934692,0.24011313915252686
exchange_rate_sl336_pl720_AGGRESSIVE.log,exchange_rate.csv,exchange_rate_sl336_pl720_AGGRESSIVE,336,720,512,512,4,512,0.0002,3,1,2,30,0.6233088970184326,0.5872791409492493
exchange_rate_sl336_pl336_AGGRESSIVE.log,exchange_rate.csv,exchange_rate_sl336_pl336_AGGRESSIVE,336,336,512,512,4,512,0.0002,3,1,2,30,0.31842565536499023,0.4162401854991913
exchange_rate_sl336_pl192_AGGRESSIVE.log,exchange_rate.csv,exchange_rate_sl336_pl192_AGGRESSIVE,336,192,512,512,4,512,0.0002,3,1,2,5,0.2593371868133545,0.37368395924568176
